OBJECTID,CATEGORY,PROJECT TITLE,GRANTEE TYPE,GRANT PROGRAM,GlobalID,URL 2,LOCATION NOTES,PROJECT DESCRIPTION,URL 1,URL 3,URL 4,URL 5,MATCH  AMOUNT,CZM REGION,URL 1 TEXT,URL 2 TEXT,URL 3 TEXT,URL 4 Text,URL 5 TEXT,TOWN,MULTI_JURISTICTIONAL,GRANT_AWARD,GRANTEE,WATERSHED,YEAR,x,y
261,Planning & Outreach,Increasing Coastal Resiliency through Inter-Municipal Shoreline Management,Municipal,Coastal Resilience,b49dca1f-3dbb-428a-a5ac-46c2cb7e901a,,,"The Town of Wellfleet partnered with the adjacent towns of Provincetown, Truro and Eastham to develop a comprehensive framework for managing approximately 35 miles of shoreline in a mutually beneficial manner.",https://www.wellfleet-ma.gov/healthconservation-department,,,,28750,Cape Cod and Islands,Wellfleet Contact Information,,,,,"Wellfleet, Provincetown, Eastham, Truro",Yes,115000,Municipal,Cape Cod,2020,-7796798.88795025,5152281.02399821
355,Design & Permitting,"Ryder Street Beach Dune Enhancement Project – Finalize Permitting, Design Plans and Contract Document Preparation",Municipal,Coastal Resilience,ed256701-d262-46c5-9e83-6c30f83c57b1,,,"The Town of Provincetown will develop final design plans, construction specifications and a monitoring and maintenance plan for a dune enhancement project along a 250 linear-foot section of Ryder Street Beach.",https://www.provincetown-ma.gov/118/Community-Development,,,,20892,Cape Cod and Islands,Provincetown Contact Information,,,,,Provincetown,No,80355,Provincetown,Cape Cod,2023,-7813105.78892455,5168500.97158757
238,Design & Permitting,Walton's Cove Stormwater Mitigation,Municipal,Coastal Pollutant Remediation,89560176-503a-44e2-aa83-466de0a9dee8,,,The Town of Hingham conducted a preliminary feasibility assessment of stormwater entering Walton’s Cove and created preliminary stormwater treatment designs to reduce sediment and bacteria inputs to Hingham Harbor.,,,,,10131,South Shore,,,,,,Hingham,No,26558,Hingham,Boston Harbor: Weymouth & Weir,2014,-7892043.36746779,5200122.09232983
23,Construction - Stormwater Infrastructure,Creating a Stormwater Gravel Wetland to Improve River Herring Habitat,Municipal,Coastal Pollutant Remediation,4f864369-f983-47ee-8d57-5a5fc647c91a,,,"The City of Medford, in partnership with the Mystic River Watershed Association, constructed a rain garden to treat stormwater runoff from a municipal parking lot entering Wright's Pond in the Mystic River watershed, critical habitat for river herring.", ,,,,56461,Boston Harbor,,,,,,Medford,No,125000,Medford,Boston Harbor: Mystic,2017,-7914686.95516622,5227037.08638752
69,Design & Permitting,New Beford Sewer Pump Station Flood Proofing,Municipal,Coastal Resilience,10f1cc0b-84c0-4796-95a2-73ad1e983935,http://s3.amazonaws.com/newbedford-ma/wp-content/uploads/sites/49/20191219212955/New-Bedford-Wastewater-Pump-Stations-Flood-Proofing-Project-2016.pdf,,"The city evaluated flood proofing needs for nine of its most vulnerable sewer pump stations and designed and permitted the highest priority, least complex improvements to provide uninterrupted service during flood events.",https://www.newbedford-ma.gov/public-infrastructure/wastewater/,,,,63750,South Coast,New  Bedford Contact Information,Final Report,,,,New Bedford,No,255000,New Bedford,Buzzards Bay,2016,-7898167.41750622,5110736.90687072
192,Construction - Other Infrastructure,Hull Water Pollution Control Facility Electrical Service Relocation,Municipal,Coastal Resilience,6c629ffd-bd13-4ab4-816e-41ce2ae949bd,,,Hull replaced the WPCF's incoming underground electrical service and transformer with a new overhead service and elevated transformer to account for flooding and sea level rise impacts.,https://www.town.hull.ma.us/sewer-department,,,,74175,South Shore,Hull Contact Information,,,,,Hull,No,148350,Hull,Boston Harbor: Proper,2019,-7892466.68669321,5206863.19502964
401,Construction - Stormwater Infrastructure,"Implementation of multiple, cost-efficient infiltration trenches to address nutrient impairment negatively impacting anadromous fish ",Municipal,Coastal Habitat and Water Quality,63614f4d-5bb9-4a9b-8919-63c34c32f19d,,Location is the Melrose City Hall because of multiple BMP locations.,"The City of Melrose, in partnership with MyRWA, constucted up to 15 stormwater street trenches to treat stormwater entering the Malden River.",,,,,17165,Boston Harbor,,,,,,Melrose,No,100868,Melrose,Boston Harbor: Mystic,2023,-7910877.31181748,5229644.33255291
92,Construction - Stormwater Infrastructure,Bay Road BMP Construction,Municipal,Coastal Pollutant Remediation,a4721639-3409-44d3-ab46-8695f5cb7a36,,,"The Town of Duxbury constructed stormwater pollutant treatment systems at four locations, building on nearly a decade of work to improve water quality, reopen shellfish beds, reduce frequency of beach closures, and support fish habitat.",,,,,323456,South Shore,,,,,,Duxbury,No,125000,Duxbury,South Coastal,2015,-7868709.01337478,5164033.33216551
430,Planning & Outreach,North River Rain Gardens Case Study,Nonprofit,Coastal Habitat and Water Quality,e4936b37-b052-46f3-8043-f4098e0ffadc,,,"Salem Sound Coastwatch will conduct a case study of the North River rain gardens in Salem, MA through the development of an executive summary, ESRI Story Map, and two informational videos. The informational videos will be provided in both English and Spanish. These products will document the successes and lessons learned from the rain garden project and provide capacity building and education and outreach opportunities focused on green stormwater infrastructure in an urban environment. This project builds of previous work to design and construct the North River rain gardens supported by previous CZM funding.",,,,,16680,North Shore,,,,,,Salem,No,50000,Salem Sound Coastwatch,North Coastal,2024,-7892677.05798871,5239854.01519356
115,Vulnerability Assessment,Gloucester Climate Change Vulnerability Assessment,Municipal,Coastal Resilience,db19f371-c78e-45d0-8512-588d7b96a6c8,,,Gloucester conducted a climate change vulnerbility assessment to develop targeted strategies for reducing risks from flooding and coastal storms.,https://www.gloucester-ma.gov/DocumentCenter/View/3416/2015-Coastal-Climate-Change-and-Vulnerability-Assessment-and-Adaptation-Plan?bidId=,,,,12500,North Shore,Plan,,,,,Gloucester,No,50000,Gloucester,North Coastal,2014,-7866143.2987483,5253430.03697608
