Company name,Location,Year of grant,Grant amount ($),Material category,Purpose/description,Locations,Coordinates,Latitude,Longitude
120 Old Boston Road Recycling Company ,Wilbraham,2018,"150,000",C&D Wood ,To purchase new sorting belt and wood conveyors that will enable the sorting and separation of clean wood from incoming construction and demolition material.,"120 Old Boston Road Recycling Company  ,Wilbraham","(42.1527548, -72.4583925)",42.1527548,-72.4583925
2M Resources,Hopedale,2019,"300,000",Glass,Dryer and burner for processing glass,"2M Resources ,Hopedale","(42.1264429, -71.5368192)",42.1264429,-71.5368192
"887 Woburn, LLC ",Wilmington,2022,"150,000",C&D Wood ,purchase picking and sorting equipment that will allow removing waste ban items from the mixed waste and to separate other recyclable materials for recycling,"887 Woburn, LLC  ,Wilmington","(42.5256676, -71.14872749999999)",42.5256676,-71.14872749999999
Aaron Industries Corp. ,Leominster,2016,"75,000",Plastics ,Equipment for post-consumer and post-industrial polypropylene and polystyrene,"Aaron Industries Corp.  ,Leominster","(42.5268913, -71.73565409999999)",42.5268913,-71.73565409999999
Aaron Industries Corp. ,Leominster,2018,"80,000",Plastics ,Funds for the purchase of an automated melt ﬁlter screen changed to process mixed 3-7 plasti,"Aaron Industries Corp.  ,Leominster","(42.5268913, -71.73565409999999)",42.5268913,-71.73565409999999
Against the Grain New England,Medford,2022,"47,060",Food waste ,Purchasing a truck for food waste collection ,"Against the Grain New England ,Medford","(42.4184296, -71.1061639)",42.4184296,-71.1061639
Agri-Cycle Energy LLC,Lowell,2022,"75,000",Food waste,Purchasing a truck for collecting food waste,"Agri-Cycle Energy LLC ,Lowell","(42.6334247, -71.31617179999999)",42.6334247,-71.31617179999999
Ag-Grid Energy LLC ,Granville,2017,"250,000",Food Material ,"Equipment for the de-packaging of food material, in order to produce an organic slurry","Ag-Grid Energy LLC  ,Granville","(42.09965450000001, -72.92243289999999)",42.09965450000001,-72.92243289999999
Bay State Textiles Inc,Kingston,2022,"26,570",Textiles,Purchasing bins and trailers to collect textiles,"Bay State Textiles Inc ,Kingston","(42.0034498, -70.75888259999999)",42.0034498,-70.75888259999999
Black Earth Compost LLC,Groton,2020,"65,000",Food Material ,Purchase equipment to construct an Aerated Static Pile (ASP) composting system,"Black Earth Compost LLC ,Groton","(42.6088719, -71.57211629999999)",42.6088719,-71.57211629999999
Black Earth Compost LLC,Manchester,2022,"71,000",Food waste ,"Purchasing truck, dump body and totes to enhance food waste collection for composting","Black Earth Compost LLC ,Manchester","(42.577834, -70.7675967)",42.577834,-70.7675967
Casella Waste Systems ,Auburn,2016,"100,000",Glass ,MRF processing equipment for sorting glass and removing contaminates,"Casella Waste Systems  ,Auburn","(42.189499, -71.87221)",42.189499,-71.87221
