Year,Project Name,Town Name,Description,Coordinates,Latitude,Longitude
2022,Boyd (formerly Lytron) of Woburn,Woburn,"Removed TCE from its final cleaning process by implementing a new aqueous system, further reducing costs, improving efficiency, and enhancing employee safety.","(42.49537979999999, -71.1220984)",42.49537979999999,-71.1220984
2022,"Southbridge Sheet Metal Works, Inc. of Sturbridge",Sturbridge,"Replaced a vapor degreaser using methylene chloride with a safer aqueous solution, modifying an existing tank with ultrasonic transducers, which significantly reduced environmental and health risks.","(42.1128824, -72.1014945)",42.1128824,-72.1014945
2022,Vishay Barry of Attleboro,Attleboro,"Eliminated solvent-based vapor degreasing in manufacturing by using new aqueous cleaning equipment, including ultrasonic baths, vacuum drying units, and water-based pump parts washers, to enhance safety and reduce toxic chemical use.","(41.94454409999999, -71.2856082)",41.94454409999999,-71.2856082
2022,Conklin Office Furniture of Holyoke,Holyoke,"Explored safer options for spray adhesives and paint/stain cleaners, traditionally containing methylene chloride and toluene, as part of the companyï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s environmental management system, with su","(42.200974, -72.60143599999999)",42.200974,-72.601436
2022,Donoma Gymnastics of Stow,Stow,"Replaced approximately 10,000 gym pit cubes containing flame retardants with flame-retardant-free cubes to create a safer environment for children and families.","(42.4352932, -71.48818779999999)",42.4352932,-71.4881878
2022,"Prof. Ramaswamy Nagarajan, UMass Lowell",Danvers,"Continued research with Transene Company on safer non-PFAS surfactants for semiconductor etching solutions, expanding the project to assess compatibility and performance of alternative chemicals in collaboration with another Massachusetts facility.","(42.6334247, -71.31617179999999)",42.6334247,-71.3161718
2022,"Associate Prof. Hsi-Wu Wong, UMass Lowell","North Andover, Devens","Evaluated safer solvent blends for column chromatography with Johnson Matthey, advancing previous research on replacements for methylene chloride, aiming to scale from lab to commercial production levels.","(42.6552587, -71.3247164)",42.6552587,-71.3247164
2022,Professional Firefighters of Massachusetts (PFFM) District 8,"Fall River, Nantucket","Partnered with Nantucket PFAS Action Group and Michigan State University to replace PFAS-containing firefighting gear, study impacts, and educate firefighters and fire marshals on safer alternatives and PFAS risks, distributing fact sheets and conducting training sessions.","(42.3595669, -71.060188)",42.3595669,-71.060188
2021,Central Metal Finishing Inc. of North Andover,North Andover,"Purchased new cleaning equipment to eliminate n-propyl bromide, a hazardous chemical affecting the central nervous and reproductive systems. Worked with TURI Lab to identify a safer alternative for the aerospace and medical device manufacturing sectors.","(42.6555842, -71.10839469999999)",42.6555842,-71.1083947
2021,S.E. Shires of Holliston,Holliston,Maker of custom brass musical instruments purchased an aqueous ultrasonic cleaning machine for larger instruments. Previously eliminated trichloroethylene (TCE) with assistance from the Massachusetts Office of Technical Assistance and worked with TURI Lab to maintain water-based cleaning solutions.,"(42.1641488, -71.4676899)",42.1641488,-71.4676899
2021,Rindge School of Technical Arts of Cambridge,Cambridge,"Replaced solvents with bio-based parts washing systems in the automotive technology program to create a safer environment. Replaced lead wheel weights with non-lead weights, benefiting students who handle these daily.","(42.3739722, -71.1118673)",42.3739722,-71.1118673
2021,North Randolph Cleaners,Randolph,"Converted from using perc, a likely human carcinogen, to Professional Wet Cleaning, which uses water and detergents for ""dry-clean-only"" clothes, eliminating 200 gallons of perc annually and promoting environmental friendliness.","(42.1914816, -71.05902209999999)",42.1914816,-71.0590221
2021,"Associate Professor Hsi-Wu Wong, Department of Chemical Engineering at UMass Lowell","North Andover, Devens","Identified safer, effective solvents to replace methylene chloride in active pharmaceutical ingredients manufacturing. Continued previous research on safer alternative solvent blends to improve manufacturing safety.","(42.6552587, -71.3247164)",42.6552587,-71.3247164
2021,"Professor Ramaswamy Nagarajan, Department of Plastics Engineering at UMass Lowell",Danvers,"Studied pectin-based bio-surfactants to replace PFAS in electronic processing chemicals, helping Transene convert over 90% of its client base to PFAS-free products. This research supports other industries seeking safer alternatives.","(42.6552587, -71.3247164)",42.6552587,-71.3247164
2021,Community Action Works and Clean Water Fund of Boston,Boston,"Provided workshops and resources on PFAS contamination in drinking water and other sources, informing community members about health risks, safer alternatives, and ways to reduce PFAS exposure.","(42.357266, -71.0581879)",42.357266,-71.0581879
2021,Nantucket PFAS Action Group,"Nantucket, Fall River","Worked with firefighters to replace PFAS-containing gear, educate on safer alternatives, and raise awareness about PFAS health risks through webinars, social media, and outreach to fire departments and cancer prevention groups.","(41.28394, -70.0999891)",41.28394,-70.0999891
2021,Silent Spring Institute of Newton and Resilient Sisterhood Project of Boston,"Newton, Boston","Used social media to educate about toxic chemicals in personal care products marketed to Black women, highlighting safer alternatives to chemicals linked to endocrine disruption, asthma, and cancer. Collaborated with influencers to share research-based information on safer personal care products.","(42.3422639, -71.08606480000002)",42.3422639,-71.0860648
2020,Assistant Professor Wan-Ting (Grace) Chen of Plastics Engineering at UMass Lowell,"North Andover, Devens",Partnered with Johnson Matthey to find safer alternatives to methylene chloride for reaction and purification processes in pharmaceutical manufacturing. The project involves screening alternatives for health and safety considerations and testing the performance of selected solvents.,"(42.6552587, -71.3247164)",42.6552587,-71.3247164
2020,"Steel Art Company, Inc. of Norwood",Norwood,"Worked with the TURI Lab to find a safer substitute for n-propyl bromide, used to clean aluminum, stainless steel, and brass parts in signage manufacturing. Upon evaluation, the company plans to purchase compatible equipment, such as ultrasonic or low agitation systems.","(42.1777588, -71.1949857)",42.1777588,-71.1949857
2020,Grove Hall Cleaners of Dorchester,Dorchester,"Aimed to eliminate the use of perchloroethylene, a probable human carcinogen, by switching to Professional Wet Cleaning. This method allows for cleaning ""dry-clean-only"" clothes with water and detergents in computer-controlled machines and finishes them with specialized pressing equipment.","(42.308373, -71.083669)",42.308373,-71.083669
2020,Family Martial Arts Center,"Leominster, Fitchburg","Re-opened their karate studios with safer cleaning and disinfecting products during the pandemic by using steam vapor units and electrolyzed water systems to clean and disinfect spaces, eliminating the need for bleach and quaternary ammonium-based disinfectants, which pose respiratory health risks.","(42.55209010000001, -71.78116419999999)",42.55209010000001,-71.7811642
2020,The Clean Water Fund,Boston,"Trained house cleaners, custodians, teachers, and environmental justice communities on selecting safer cleaning products during the coronavirus pandemic. Workshops and online training were held with partners like MassCOSH, Resilient Sisterhood Project, Vida Verde Womenï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Co-op, and American Federation of Teacher","(42.4072107, -71.3824374)",42.4072107,-71.3824374
2020,Brazilian Womenï¿½ï¿½ï¿½ï,Brighton,"Trained Brazilian domestic workers and other Portuguese-speaking women in safer cleaning methods, focusing on minimizing COVID-19 impacts within the community, where a significant percentage work as essential workers. Also provided outreach to nannies, elder care workers, and childcare providers.","(42.3509842, -71.146072)",42.3509842,-71.146072
2020,Informed Green Solutions,Deerfield,"Developed materials for schools about COVID-19 transmission and safer cleaning methods, helping minimize hazardous janitorial products. Shared resources, including a handbook, through webinars and websites to guide schools in implementing safer cleaning practices.","(42.4072107, -71.3824374)",42.4072107,-71.3824374
2020,Silent Spring Institute,Newton,"Focused on educating Black women about safer personal care and cleaning products, aiming to reduce exposure to toxics like phthalates, parabens, and antimicrobials. Partnered with the Resilient Sisterhood Project to conduct virtual workshops, surveys, and social media campaigns to promote safer alternatives.","(42.3592294, -71.2054393)",42.3592294,-71.2054393
2020,Wellspring Harvest Corporation,Springfield,"Eliminated pesticide use in hydroponic greenhouse operations by controlling humidity levels to prevent powdery mildew on crops. Installed a misting system to maintain relative humidity, which deters mildew growth without wetting plants, thus reducing the need for chemical pesticides.","(42.4072107, -71.3824374)",42.4072107,-71.3824374
2019,Bird Precision of Waltham,Waltham,"Eliminated the use of trichloroethylene (TCE), a Higher Hazard Substance, by purchasing new drying equipment and refining a new cleaning process in collaboration with TURI Lab.","(42.37057739999999, -71.2396716)",42.37057739999999,-71.2396716
2019,CD Aero of New Bedford,New Bedford,"Replaced a vapor degreaser using n-propyl bromide (nPB) with safer cleaning solutions, verified by TURI Lab. nPB is listed as a Higher Hazard Substance and is considered a probable carcinogen.","(41.7266864, -70.9650901)",41.7266864,-70.9650901
2019,MSI Transducers Corp. of Littleton,Littleton,"Modified injection tooling process to reduce the use of lead, improving yield and efficiency while minimizing lead waste in acoustic transducer manufacturing.","(42.5577009, -71.4831884)",42.5577009,-71.4831884
2019,Plenus Group Inc. of Lowell,Lowell,"Collaborated with UMass Lowell Professor Boce Zhangï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s lab to identify alternatives to sodium hydroxide, aiming to improve worker safety by potentially reducing over 14,000 pou","(42.6276421, -71.27953029999999)",42.6276421,-71.2795303
2019,River Street Metal Finishing of Braintree,Braintree,"Reduced sulfuric acid use in metal finishing by installing a filtration system in anodizing tanks, allowing sulfuric acid reuse and reducing direct exposure risks to workers.","(42.1937624, -71.0303227)",42.1937624,-71.0303227
2019,Riverdale Mills of Northbridge,Northbridge,"Purchased equipment to reduce hydrochloric acid, sodium hydroxide, and ammonium hydroxide use by controlling acid drag-out from pickling tanks in welded wire mesh manufacturing.","(42.1395759, -71.641098)",42.1395759,-71.641098
