Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Town of Abington ,RDP Payment ,4800,2015.0,"(42.1048228, -70.9453218)",42.1048228,-70.9453218
Town of Acton ,RDP Payment ,3200,2015.0,"(42.4850931, -71.43284)",42.4850931,-71.43284
Town of Adams ,Small-Scale Payment ,750,2015.0,"(42.621499, -73.121106)",42.621499,-73.121106
Town of Agawam ,Small-Scale Payment ,1500,2015.0,"(42.0695391, -72.61481169999999)",42.0695391,-72.61481169999999
Town of Amesbury ,Small-Scale Payment ,1250,2015.0,"(42.85839250000001, -70.93003759999999)",42.85839250000001,-70.93003759999999
Town of Amherst ,RDP Payment ,6000,2015.0,"(42.3732216, -72.5198537)",42.3732216,-72.5198537
Town of Andover ,Small-Scale Payment ,1500,2015.0,"(42.6627301, -71.1446897)",42.6627301,-71.1446897
Town of Arlington ,RDP Payment ,18000,2015.0,"(42.4153925, -71.1564729)",42.4153925,-71.1564729
Town of Ashby ,RDP Payment ,2000,2015.0,"(42.6784326, -71.8224237)",42.6784326,-71.8224237
Town of Ashfield ,RDP Payment ,1600,2015.0,"(42.5264745, -72.788426)",42.5264745,-72.788426
Town of Ashland ,Small-Scale Payment ,1250,2015.0,"(42.2612067, -71.4633956)",42.2612067,-71.4633956
Town of Athol ,RDP Payment ,1400,2015.0,"(42.59593290000001, -72.2267383)",42.59593290000001,-72.2267383
City of Attleboro ,RDP Payment ,17500,2015.0,"(41.94454409999999, -71.2856082)",41.94454409999999,-71.2856082
Town of Auburn ,RDP Payment ,5600,2015.0,"(42.1953619, -71.8354252)",42.1953619,-71.8354252
Town of Avon ,Small-Scale Payment ,500,2015.0,"(42.13065539999999, -71.0411582)",42.13065539999999,-71.0411582
Town of Ayer ,RDP Payment ,2200,2015.0,"(42.5594094, -71.5868461)",42.5594094,-71.5868461
Town of Barnstable ,RDP Payment ,9000,2015.0,"(41.7003208, -70.3002024)",41.7003208,-70.3002024
Town of Barre ,RDP Payment ,1800,2015.0,"(42.422359, -72.104837)",42.422359,-72.104837
Town of Belchertown ,RDP Payment ,1800,2015.0,"(42.2800443, -72.40348469999999)",42.2800443,-72.40348469999999
Town of Bellingham ,Small-Scale Payment ,1250,2015.0,"(42.086787, -71.47458979999999)",42.086787,-71.47458979999999
Town of Belmont ,Small-Scale Payment ,1250,2015.0,"(42.3965848, -71.1774537)",42.3965848,-71.1774537
Town of Bernardston ,RDP Payment ,1400,2015.0,"(42.6710048, -72.5483277)",42.6710048,-72.5483277
City of Beverly ,Small-Scale Payment ,1500,2015.0,"(42.5584283, -70.880049)",42.5584283,-70.880049
Town of Billerica ,Small-Scale Payment ,1500,2015.0,"(42.5584218, -71.2689461)",42.5584218,-71.2689461
Town of Blackstone ,RDP Payment ,2800,2015.0,"(42.0173361, -71.5334972)",42.0173361,-71.5334972
Town of Bolton ,RDP Payment ,1200,2015.0,"(42.433501, -71.6052362)",42.433501,-71.6052362
Town of Bourne ,Small-Scale Payment ,1250,2015.0,"(41.74127730000001, -70.5989325)",41.74127730000001,-70.5989325
Town of Boxford ,RDP Payment ,4400,2015.0,"(42.6599138, -70.9971338)",42.6599138,-70.9971338
Town of Braintree ,Small-Scale Payment ,1500,2015.0,"(42.2079017, -71.0040013)",42.2079017,-71.0040013
Town of Brewster ,RDP Payment ,5200,2015.0,"(41.7609271, -70.0829663)",41.7609271,-70.0829663
Town of Bridgewater ,Small-Scale Payment ,1500,2015.0,"(41.99024199999999, -70.9754708)",41.99024199999999,-70.9754708
City of Brockton ,RDP Payment ,28000,2015.0,"(42.0834335, -71.0183787)",42.0834335,-71.0183787
Town of Brookline ,RDP Payment ,17500,2015.0,"(42.33176419999999, -71.1211635)",42.33176419999999,-71.1211635
Town of Buckland ,RDP Payment ,1200,2015.0,"(42.6038667, -72.7415594)",42.6038667,-72.7415594
City of Cambridge ,RDP Payment ,60000,2015.0,"(42.3736158, -71.10973349999999)",42.3736158,-71.10973349999999
Town of Charlemont ,RDP Payment ,1600,2015.0,"(42.627862, -72.86981829999999)",42.627862,-72.86981829999999
Town of Charlton ,Small-Scale Payment ,1000,2015.0,"(42.1340861, -71.9691731)",42.1340861,-71.9691731
Town of Chatham ,RDP Payment ,5200,2015.0,"(41.6827266, -69.9615518)",41.6827266,-69.9615518
Town of Chelmsford ,Small-Scale Payment ,1500,2015.0,"(42.5998139, -71.3672838)",42.5998139,-71.3672838
Town of Cheshire ,RDP Payment ,1200,2015.0,"(42.5619131, -73.1628065)",42.5619131,-73.1628065
Town of Chesterfield ,RDP Payment ,1600,2015.0,"(42.3917541, -72.8398172)",42.3917541,-72.8398172
City of Chicopee ,RDP Payment ,18000,2015.0,"(42.1487043, -72.6078672)",42.1487043,-72.6078672
Town of Clarksburg ,Small-Scale Payment ,500,2015.0,"(42.7170314, -73.092685)",42.7170314,-73.092685
Town of Clinton ,Small-Scale Payment ,1000,2015.0,"(42.4232376, -71.6835888)",42.4232376,-71.6835888
Town of Cohasset ,RDP Payment ,6000,2015.0,"(42.24176749999999, -70.8036544)",42.24176749999999,-70.8036544
Town of Colrain ,RDP Payment ,1800,2015.0,"(42.6738227, -72.70698569999999)",42.6738227,-72.70698569999999
Town of Concord ,RDP Payment ,3600,2015.0,"(42.4603719, -71.3489484)",42.4603719,-71.3489484
Town of Conway ,Small-Scale Payment ,500,2015.0,"(42.5098085, -72.6995349)",42.5098085,-72.6995349
Town of Cummington ,RDP Payment ,1600,2015.0,"(42.459188, -72.8913714)",42.459188,-72.8913714
Town of Danvers ,Small-Scale Payment ,1500,2015.0,"(42.5549293, -70.9434291)",42.5549293,-70.9434291
Town of Dartmouth ,RDP Payment ,15000,2015.0,"(41.6130323, -70.9704787)",41.6130323,-70.9704787
Town of Deerfield ,RDP Payment ,1800,2015.0,"(42.5445588, -72.6056435)",42.5445588,-72.6056435
Town of Dennis ,RDP Payment ,7200,2015.0,"(41.7360225, -70.1944324)",41.7360225,-70.1944324
Devens Enterprise Commission ,Small-Scale Payment ,500,2015.0,"(42.5393412, -71.6108711)",42.5393412,-71.6108711
Town of Douglas ,Small-Scale Payment ,750,2015.0,"(42.0543449, -71.739379)",42.0543449,-71.739379
Town of Dracut ,Small-Scale Payment ,1500,2015.0,"(42.6703687, -71.3020052)",42.6703687,-71.3020052
Town of Duxbury ,RDP Payment ,8800,2015.0,"(42.0393842, -70.67170279999999)",42.0393842,-70.67170279999999
Town of East Brookfield ,Small-Scale Payment ,500,2015.0,"(42.2266927, -72.046446)",42.2266927,-72.046446
Town of East Longmeadow ,RDP Payment ,5600,2015.0,"(42.0645396, -72.5125863)",42.0645396,-72.5125863
Town of Eastham ,RDP Payment ,3200,2015.0,"(41.8299634, -69.97403609999999)",41.8299634,-69.97403609999999
Town of Egremont ,RDP Payment ,1600,2015.0,"(42.1777247, -73.4415929)",42.1777247,-73.4415929
Town of Erving ,Small-Scale Payment ,500,2015.0,"(42.6000863, -72.3981416)",42.6000863,-72.3981416
City of Everett ,RDP Payment ,15000,2015.0,"(42.40843, -71.0536625)",42.40843,-71.0536625
City of Fall River ,RDP Payment ,66000,2015.0,"(41.7014912, -71.1550451)",41.7014912,-71.1550451
Town of Falmouth ,Small-Scale Payment ,1500,2015.0,"(41.5532208, -70.60858859999999)",41.5532208,-70.60858859999999
Franklin County SWM District ,Small-Scale Payment ,2000,2015.0,"(42.530599, -72.61511689999999)",42.530599,-72.61511689999999
City of Fitchburg ,RDP Payment ,17500,2015.0,"(42.5834228, -71.8022955)",42.5834228,-71.8022955
Town of Florida ,Small-Scale Payment ,500,2015.0,"(42.66675, -73.01121169999999)",42.66675,-73.01121169999999
Town of Framingham ,RDP Payment ,18000,2015.0,"(42.279286, -71.4161565)",42.279286,-71.4161565
Town of Freetown ,RDP Payment ,4000,2015.0,"(41.7619708, -71.014118)",41.7619708,-71.014118
City of Gardner ,RDP Payment ,7200,2015.0,"(42.5750883, -71.998133)",42.5750883,-71.998133
Town of Gill ,RDP Payment ,1600,2015.0,"(42.6412196, -72.49972869999999)",42.6412196,-72.49972869999999
City of Gloucester ,RDP Payment ,17500,2015.0,"(42.6159285, -70.6619888)",42.6159285,-70.6619888
Town of Goshen ,RDP Payment ,1600,2015.0,"(42.4407187, -72.7993986)",42.4407187,-72.7993986
Town of Grafton ,RDP Payment ,2800,2015.0,"(42.2070391, -71.6856236)",42.2070391,-71.6856236
Town of Granby ,RDP Payment ,3200,2015.0,"(42.2570866, -72.51688589999999)",42.2570866,-72.51688589999999
Town of Granville ,RDP Payment ,1400,2015.0,"(42.0669334, -72.8806439)",42.0669334,-72.8806439
Town of Greenfield ,RDP Payment ,8800,2015.0,"(42.587915, -72.5994104)",42.587915,-72.5994104
Town of Groton ,RDP Payment ,2600,2015.0,"(42.6088719, -71.57211629999999)",42.6088719,-71.57211629999999
Town of Halifax ,RDP Payment ,4400,2015.0,"(41.991316, -70.8608607)",41.991316,-70.8608607
Town of Hamilton ,RDP Payment ,3200,2015.0,"(42.63620520000001, -70.8431049)",42.63620520000001,-70.8431049
Town of Hampden ,RDP Payment ,1200,2015.0,"(42.0644954, -72.4139313)",42.0644954,-72.4139313
Town of Hancock ,Small-Scale Payment ,500,2015.0,"(42.543138, -73.32371820000002)",42.543138,-73.32371820000002
Town of Hanson ,RDP Payment ,3600,2015.0,"(42.0651405, -70.8666082)",42.0651405,-70.8666082
Town of Hardwick ,Small-Scale Payment ,500,2015.0,"(42.3066833, -72.210471)",42.3066833,-72.210471
Town of Harvard ,Small-Scale Payment ,750,2015.0,"(42.5000919, -71.5828444)",42.5000919,-71.5828444
Town of Harwich ,RDP Payment ,8000,2015.0,"(41.6716498, -70.0622231)",41.6716498,-70.0622231
City of Haverhill ,RDP Payment ,21000,2015.0,"(42.7762015, -71.0772796)",42.7762015,-71.0772796
Town of Hawley ,Small-Scale Payment ,500,2015.0,"(42.6031678, -72.9133844)",42.6031678,-72.9133844
Town of Heath ,Small-Scale Payment ,500,2015.0,"(42.673417, -72.82176179999999)",42.673417,-72.82176179999999
Town of Hingham ,RDP Payment ,9600,2015.0,"(42.2418172, -70.889759)",42.2418172,-70.889759
Town of Hinsdale ,Small-Scale Payment ,500,2015.0,"(42.4386967, -73.1253799)",42.4386967,-73.1253799
Hilltown Resource Mgmt Cooperative ,Small-Scale Payment ,1000,2015.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Town of Huntington ,Small-Scale Payment ,500,2015.0,"(42.2335218, -72.8796017)",42.2335218,-72.8796017
