Fiscal Year,Grantee,Project Title,Location,Award Amount,Coordinate,Lat,Long
2019,Fresh Start Furniture Bank,Bulk Furniture Loading Dock,Hudson,"$3,150.00 ","42.388562,-71.506687",42.388562,-71.506687
2019,"Roots & Dreams and Mustard Seed, Inc",The BagShare Pittsfield Chapter/Roots & Dreams,Pittsfield,"$5,000.00 ","42.452938,-73.252188",42.452938,-73.252188
2019,More Than Words,More Than Words Used Textile Collection,Waltham,"$5,000.00 ","42.373937,-71.239063",42.373937,-71.239063
2019,"Berkshire Environmental Action Team, LLC.",Berkshire Zero-Waste Initiative,Pittsfield,"$5,000.00 ","42.430188,-73.310063",42.430188,-73.310063
2019,Town of Rowe,Rowe Town Library - Library of Things,Rowe,"$2,500.00 ","42.694063,-72.899313",42.694063,-72.899313
2020,USEFUL(FKA Coffee Cup Collective),Coffee Cup Collective - a circular economy for reusable coffee cups,Boston,"$5,000.00 ","42.357188,-71.054312",42.357188,-71.054312
2020,The Brickyard Collaborative,The Brickyard Repair Cafï¿,Lynn,"$5,000.00 ","42.461312,-70.967062",42.461312,-70.967062
2020,"Franklin County Community Development Corporation (Greening Greenfield, MA)",Reusable Bags in Greenfield and Franklin County,Greenfield,"$1,675.00 ","42.602812,-72.608312",42.602812,-72.608312
2020,Lexington Public Schools,Elimination of Small Cello Bags,Lexington,"$5,000.00 ","42.602812,-72.608312",42.602812,-72.608312
2020,Green Team Junk Removal,Green Teams Reuse Initiative,Holliston,"$5,000.00 ","42.197187,-71.426063",42.197187,-71.426063
2020,Good Point Recycling,Production of cheap universal power supply boards for LED TV backlight reuse,Brockton,"$5,000.00 ","42.095062,-71.010813",42.095062,-71.010813
2020,Wachusett Earthday Inc.,Increasing Furniture and Home Goods Reuse,West Boylston,"$5,000.00 ","42.398313,-71.809188",42.398313,-71.809188
2020,Essex County Habitat for Humanity (previously Habitat North Shore),ReStore Workshop Build,Lawrence,"$5,000.00 ","42.688563,-71.178438",42.688563,-71.178438
2020,"Food Link, Inc.",Waste reduction through reuse elements in the Food Link operations hub,Arlington,"$5,000.00 ","42.419313,-71.158938",42.419313,-71.158938
2021,Cambridge Community Center,Food & Supply Pantry,Cambridge,"$5,000.00 ","42.365562,-71.111187",42.365562,-71.111187
2021,Stonehill College,Creating an App to Track Choose2Reuse Takeout Containers,Easton,"$5,000.00 ","42.058062,-71.080938",42.058062,-71.080938
2022,Untold Brewing,PakTech Rescue Program and Reusable Wrap Pilot Program,Scituate,"$3,000.00 ","42.180813,-70.747187",42.180813,-70.747187
2022,The BYTE Shop,"BYTE Shop Reduce, Reuse, and Repair Program",Jamaica Plain,"$5,000.00 ","42.308188,-71.115313",42.308188,-71.115313
2022,Good Filling,Good Filling Bottle Exchanges,Cambridge,"$5,000.00 ","42.356813,-71.105937",42.356813,-71.105937
